age,female,"bs(age, df=5, degree=2, include_intercept=False)[0]","bs(age, df=5, degree=2, include_intercept=False)[1]","bs(age, df=5, degree=2, include_intercept=False)[2]","bs(age, df=5, degree=2, include_intercept=False)[3]","bs(age, df=5, degree=2, include_intercept=False)[4]","bs(age, df=5, degree=2, include_intercept=False)[0]:female","bs(age, df=5, degree=2, include_intercept=False)[1]:female","bs(age, df=5, degree=2, include_intercept=False)[2]:female","bs(age, df=5, degree=2, include_intercept=False)[3]:female","bs(age, df=5, degree=2, include_intercept=False)[4]:female"
45.5,0,0.0,0.47102076124566583,0.5287381587157612,0.0002410800385729569,0.0,0.0,0.0,0.0,0.0,0.0
45.5,1,0.0,0.47102076124566583,0.5287381587157612,0.0002410800385729569,0.0,0.0,0.47102076124566583,0.5287381587157612,0.0002410800385729569,0.0
45.583,0,0.0,0.46627499038830317,0.5333968728925281,0.00032813671916872027,0.0,0.0,0.0,0.0,0.0,0.0
45.583,1,0.0,0.46627499038830317,0.5333968728925281,0.00032813671916872027,0.0,0.0,0.46627499038830317,0.5333968728925281,0.00032813671916872027,0.0
45.667,0,0.0,0.46155324875047143,0.5380181645142877,0.00042858673524075137,0.0,0.0,0.0,0.0,0.0,0.0
45.667,1,0.0,0.46155324875047143,0.5380181645142877,0.00042858673524075137,0.0,0.0,0.46155324875047143,0.5380181645142877,0.00042858673524075137,0.0
45.75,0,0.0,0.45685553633217074,0.5426020335810402,0.0005424300867890502,0.0,0.0,0.0,0.0,0.0,0.0
45.75,1,0.0,0.45685553633217074,0.5426020335810402,0.0005424300867890502,0.0,0.0,0.45685553633217074,0.5426020335810402,0.0005424300867890502,0.0
45.833,0,0.0,0.4521818531334009,0.5471484800927855,0.0006696667738136169,0.0,0.0,0.0,0.0,0.0,0.0
45.833,1,0.0,0.4521818531334009,0.5471484800927855,0.0006696667738136169,0.0,0.0,0.4521818531334009,0.5471484800927855,0.0006696667738136169,0.0
45.917,0,0.0,0.4475321991541621,0.5516575040495234,0.0008102967963144513,0.0,0.0,0.0,0.0,0.0,0.0
